year,destination_city,destination_district,destination_village,origin_province,origin_city,total_migrants
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Bandung,4
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Bogor,8
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Ciamis,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Karawang,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Kota Bandung,3
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Kota Bekasi,2
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Kota Bogor,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Kota Cirebon,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Kota Depok,3
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Kuningan,4
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Barat,Sumedang,2
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Banjarnegara,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Banyumas,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Brebes,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Cilacap,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Grobogan,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Karanganyar,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Kendal,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Klaten,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Kota Pekalongan,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Kota Semarang,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Pemalang,2
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Tengah,Tegal,2
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Timur,Bangkalan,2
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Timur,Jombang,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Timur,Kota Malang,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Timur,Kota Surabaya,2
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Timur,Magetan,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Jawa Timur,Mojokerto,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Kalimantan Barat,Kubu Raya,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Kep. Bangka Belitung,Bangka Tengah,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Lampung,Kota Bandar Lampung,3
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Lampung,Lampung Tengah,4
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Lampung,Lampung Timur,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Lampung,Pringsewu,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Lampung,Tanggamus,7
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Lampung,Tulang Bawang,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Riau,Kampar,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Riau,Kota Pekanbaru,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sulawesi Selatan,Bone,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sulawesi Utara,Kota Manado,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Barat,Agam,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Barat,Kota Padang,3
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Barat,Padang Pariaman,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Barat,Solok,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Selatan,Kota Palembang,4
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Utara,Humbang Hasundutan,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Utara,Kota Medan,1
2025,Kota Adm. Jakarta Pusat,Gambir,Cideng,Sumatera Utara,Tapanuli Utara,2
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Bali,Tabanan,2
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Banten,Kota Tangerang,5
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Banten,Kota Tangerang Selatan,7
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Banten,Pandeglang,1
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Sulawesi Utara,Minahasa,2
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Sumatera Barat,Kota Padang,1
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Sumatera Barat,Kota Payakumbuh,1
2025,Kota Adm. Jakarta Pusat,Gambir,Petojo Utara,Sumatera Barat,Tanah Datar,1
